Title,Uncategorized_Variables,Uncategorized_Count
Modelling the spatial decision making of terrorists: the discrete choice approach,1. Number of PIRA members | Number; 2. Recognition as strangers | Binary; 3. Major Road | Binary; 4. Police Station | Binary; 5. Military Base | Binary; 6. River | Binary; 7. Major thoroughfares | Binary; 8. River as barrier | Binary,8
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,1. Number of dwellings | Number; 2. Total number of business units | Number; 3. Number of business units in industry categories | Number; 4. Number of business units in commercial or public industries | Number; 5. Schools | Number; 6. Spatial Unit | Number; 7. Opportunity | Number; 8. 1007/ s11896-022-09540-8 | Number,8
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,1. Single-Parent Households | Percentage; 2. Social Disorganization | Index; 3. Social Cohesion | Index; 4. Concentrated Disadvantage Index | Rate; 5. Median Home Value | Number; 6. Percentage of Unemployed | Percentage; 7. Percentage of Occupied Units | Percentage; 8. Routine Activities | Number; 9. Social Cohesion | Number; 10. Anonymity | Number; 11. Normalization of Data | Number; 12. Series of Models | Number,12
Residential burglary target selection: An analysis at the property-level using Google Street View,1. Collective Efficacy | Number; 2. Social Trust | Number; 3. Informal Social Control | Number; 4. Number of escape routes | Number; 5. Property at end of row | Binary; 6. Number of boundaries shared with public areas | Number; 7. Property setback from street | Binary; 8. Presence of business | Binary; 9. Mixed land-use | Binary; 10. House type | Binary; 11. Fixed effects analysis | Number; 12. 1016/j.apgeog.2017.06.014 | Number,12
"Right place, right time? Making crime pattern theory time-specific",1. Number of cars parked on a parking lot | Number; 2. Presence of locks and escape routes | Number; 3. Residences | Number; 4. Schools | Number; 5. Jobs | Number; 6. Sports activities | Number; 7. Shopping | Number; 8. Going out | Number; 9. Neighbourhoods of offenders' activity nodes | Number; 10. Geocoded Neighbourhoods | Number; 11. Crime committed in neighbourhood | Binary; 12. Pseudo-R 2 | Number,12
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,1. Socioeconomic heterogeneity | Index; 2. Affluence | Number; 3. Ambient Guardianship | Number; 4. Movement Potential | Number; 5. Through Movement | Number; 6. Activity Nodes | Number; 7. Road Network Configuration | Percentage; 8. Idiosyncratic Farness | Number; 9. Closeness Centrality | Number; 10. Number of dwellings | Number,10
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,1. Schools | Number; 2. Bars | Number; 3. Transit Stations | Number; 4. Shopping Centers | Number; 5. Solo Crime Rate | Rate,5
Spatial analysis with preference specification of latent decision makers for criminal event prediction,1. P.CARE.PH | Number; 2. Location | Number; 3. Census Data | Number,3
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,1. Number of Schools | Number; 2. Social Disorganization | Number; 3. Index of Multiple Deprivation (IMD) | Index; 4. Routine Activity Nodes | Number; 5. Retail Centers | Number; 6. Schools | Number; 7. River Thames | Number; 8. Presence of underground station | Binary; 9. Thames River barrier | Binary; 10. Contagion measure | Number; 11. Contagion | Number; 12. Discrete Choice Approach | Number; 13. Deprivation | Index; 14. McFadden Pseudo R-squared | Number; 15. 1111/1745-9125.12004 | Number,15
Target Selection Models with Preference Variation Between Offenders,1. Social cohesion | Number; 2. Collective efficacy | Number; 3. Number of households | Number; 4. Target Vulnerability | Percentage,4
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,1. Socioeconomic Heterogeneity | Index; 2. Schools | Number; 3. Major Roads | Binary; 4. Train Stations | Binary; 5. Connectivity via major roads | Binary; 6. Adjacency | Binary; 7. Robust Standard Errors | Number; 8. Unit of Analysis | Number; 9. Random Utility Model | Number; 10. Interaction Terms | Number,10
The Importance of Importance Sampling,1. Number of households in the SA2 | Number; 2. Number of business units in any industry | Number; 3. Number of business units for industries targeted in commercial robbery | Number; 4. Number of commercial or public business units | Number; 5. Number of households in SA2 | Number; 6. Number of business units for targeted industries | Number; 7. Presence of activity nodes in SA2 | Binary; 8. Year dummies | Binary; 9. Opportunity measures | Number,9
THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,1. Crime attractors | Binary; 2. Visiting frequency | Rate; 3. Neighbourhood Boundaries | Number,3
The usefulness of past crime data as an attractiveness index for residential burglars,1. Proportion of foreigners | Percentage; 2. Proportion of newcomers | Percentage; 3. Proportion of single-family dwellings | Percentage; 4. Proportion of Single-Family Dwellings | Percentage; 5. Crime Attractors | Number,5
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,1. Concentrated Disadvantage | Percentage; 2. Gini Coefficient | Index; 3. Activity spaces | Number; 4. Structural elements | Number; 5. Socially organized areas | Number; 6. Routine activities | Number; 7. Hangouts and loitering hotspots | Number; 8. Concentrated Disadvantage | Rate; 9. Racial Composition | Percentage; 10. Discrete Choice Modeling Framework | Number; 11. Seemingly Unrelated Estimation | Number,11
Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,"1. Marital Status | Percentage; 2. Birthplace | Percentage; 3. Education Level | Percentage; 4. Presence of Retail and Entertainment Businesses | Number; 5. Activity Level | Number; 6. Presence of retail and entertainment businesses | Number; 7. General activity level | Number; 8. Bars, clubs, coffeeshops, and smartshops | Number; 9. CCTV cameras | Number; 10. Territoriality | Number; 11. General activity level of the location | Number; 12. Social Control | Number; 13. Social Disorder | Number",13
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,"1. Collective efficacy | Index; 2. Presence of illegal markets | Number; 3. Cash-intensive businesses (check-cashing outlets, ATMs, pawn shops, bars) | Number; 4. Deprived areas/cash economies | Number; 5. Check-cashing outlets | Number; 6. Automatic teller machines (ATMs) | Number; 7. Pawn shops | Number; 8. Bars and taverns | Number; 9. Drug markets | Number; 10. Prostitution markets | Number; 11. High schools | Number; 12. Retail activities | Number; 13. Collective efficacy | Number; 14. Adjacency | Binary; 15. Gang territorial dissimilarity | Number; 16. Cross-Validation | Number; 17. Collective Efficacy | Number; 18. Social Barriers | Index; 19. Attractive Targets | Number; 20. 1111/j.  1745-9125.2009.00140.x | Number; 21. pdf | Number",21
